Count,Filename_0,Dev6/ai0,Dev6/ai1,,load,displacement
0,D:/Zhiyuan/20231102-CT/T8Pure\S1-00000_0.tif,0.0147,0.0073,,2.19,0.147
1,D:/Zhiyuan/20231102-CT/T8Pure\S1-00001_0.tif,0.0198,0.0073,,2.19,0.198
2,D:/Zhiyuan/20231102-CT/T8Pure\S1-00002_0.tif,0.03,0.0073,,2.19,0.3
3,D:/Zhiyuan/20231102-CT/T8Pure\S1-00003_0.tif,0.03,0.0073,,2.19,0.3
4,D:/Zhiyuan/20231102-CT/T8Pure\S1-00004_0.tif,0.0402,0.0124,,3.72,0.402
5,D:/Zhiyuan/20231102-CT/T8Pure\S1-00005_0.tif,0.0453,0.0226,,6.78,0.453
6,D:/Zhiyuan/20231102-CT/T8Pure\S1-00006_0.tif,0.0503,0.0582,,17.46,0.503
7,D:/Zhiyuan/20231102-CT/T8Pure\S1-00007_0.tif,0.0605,0.0989,,29.67,0.605
8,D:/Zhiyuan/20231102-CT/T8Pure\S1-00008_0.tif,0.0707,0.1396,,41.88,0.707
9,D:/Zhiyuan/20231102-CT/T8Pure\S1-00009_0.tif,0.0707,0.1803,,54.09,0.707
10,D:/Zhiyuan/20231102-CT/T8Pure\S1-00010_0.tif,0.0809,0.2413,,72.39,0.809
11,D:/Zhiyuan/20231102-CT/T8Pure\S1-00011_0.tif,0.0859,0.338,,101.4,0.859
12,D:/Zhiyuan/20231102-CT/T8Pure\S1-00012_0.tif,0.091,0.4397,,131.91,0.91
13,D:/Zhiyuan/20231102-CT/T8Pure\S1-00013_0.tif,0.0961,0.5619,,168.57,0.961
14,D:/Zhiyuan/20231102-CT/T8Pure\S1-00014_0.tif,0.1063,0.684,,205.2,1.063
15,D:/Zhiyuan/20231102-CT/T8Pure\S1-00015_0.tif,0.1114,0.8162,,244.86,1.114
16,D:/Zhiyuan/20231102-CT/T8Pure\S1-00016_0.tif,0.1215,0.9485,,284.55,1.215
