Image Number,y-Displacement [m],x-Crack Tip Length [m],x-Edge Length [m],x-Crack Length [m]
20,-3.29E-02,8.87E-03,5.72E-02,4.83E-02
25,-3.32E-02,8.79E-03,5.72E-02,4.84E-02
30,-3.36E-02,8.68E-03,5.71E-02,4.84E-02
35,-3.39E-02,8.62E-03,5.71E-02,4.85E-02
40,-3.42E-02,8.51E-03,5.71E-02,4.86E-02
45,-3.46E-02,8.57E-03,5.71E-02,4.85E-02
50,-3.49E-02,8.32E-03,5.70E-02,4.87E-02
55,-3.53E-02,8.28E-03,5.70E-02,4.87E-02
60,-3.56E-02,8.45E-03,5.70E-02,4.85E-02
65,-3.60E-02,8.64E-03,5.69E-02,4.83E-02
70,-3.63E-02,8.74E-03,5.69E-02,4.81E-02
75,-3.66E-02,9.93E-03,5.68E-02,4.69E-02
80,-3.70E-02,9.82E-03,5.68E-02,4.70E-02
85,-3.74E-02,9.95E-03,5.68E-02,4.69E-02
90,-3.77E-02,1.01E-02,5.68E-02,4.67E-02
95,-3.81E-02,1.03E-02,5.67E-02,4.65E-02
100,-3.84E-02,1.07E-02,5.67E-02,4.60E-02
105,-3.88E-02,1.10E-02,5.67E-02,4.57E-02
110,-3.91E-02,1.13E-02,5.66E-02,4.53E-02
115,-3.95E-02,1.15E-02,5.67E-02,4.52E-02
120,-3.98E-02,1.18E-02,5.66E-02,4.48E-02
125,-4.02E-02,1.20E-02,5.66E-02,4.45E-02
130,-4.05E-02,1.25E-02,5.65E-02,4.40E-02
135,-4.09E-02,1.27E-02,5.65E-02,4.38E-02
140,-4.12E-02,1.31E-02,5.65E-02,4.34E-02
145,-4.16E-02,1.34E-02,5.64E-02,4.31E-02
150,-4.19E-02,1.39E-02,5.64E-02,4.25E-02
155,-4.23E-02,1.40E-02,5.63E-02,4.23E-02
160,-4.26E-02,1.47E-02,5.63E-02,4.16E-02
165,-4.30E-02,1.50E-02,5.63E-02,4.12E-02
170,-4.33E-02,1.56E-02,5.63E-02,4.07E-02
175,-4.37E-02,1.60E-02,5.62E-02,4.02E-02
180,-4.40E-02,1.63E-02,5.62E-02,3.99E-02
185,-4.44E-02,1.68E-02,5.61E-02,3.93E-02
190,-4.47E-02,1.70E-02,5.61E-02,3.91E-02
195,-4.51E-02,1.75E-02,5.61E-02,3.86E-02
200,-4.55E-02,1.78E-02,5.61E-02,3.83E-02
205,-4.58E-02,1.82E-02,5.60E-02,3.78E-02
210,-4.62E-02,1.86E-02,5.60E-02,3.74E-02
215,-4.65E-02,1.90E-02,5.59E-02,3.70E-02
220,-4.68E-02,1.94E-02,5.59E-02,3.65E-02
225,-4.72E-02,1.98E-02,5.58E-02,3.60E-02
230,-4.76E-02,2.02E-02,5.58E-02,3.56E-02
235,-4.79E-02,2.06E-02,5.57E-02,3.51E-02
240,-4.83E-02,2.08E-02,5.57E-02,3.49E-02
245,-4.86E-02,2.13E-02,5.56E-02,3.44E-02
250,-4.89E-02,2.16E-02,5.56E-02,3.40E-02
255,-4.93E-02,2.20E-02,5.56E-02,3.36E-02
260,-4.97E-02,2.22E-02,5.55E-02,3.33E-02
265,-5.00E-02,2.26E-02,5.54E-02,3.28E-02
270,-5.04E-02,2.30E-02,5.54E-02,3.23E-02
275,-5.07E-02,2.35E-02,5.53E-02,3.18E-02
280,-5.11E-02,2.38E-02,5.53E-02,3.15E-02
285,-5.14E-02,2.42E-02,5.52E-02,3.11E-02
290,-5.18E-02,2.45E-02,5.51E-02,3.06E-02
295,-5.22E-02,2.48E-02,5.51E-02,3.03E-02
300,-5.25E-02,2.50E-02,5.50E-02,3.00E-02
305,-5.28E-02,2.55E-02,5.50E-02,2.95E-02
310,-5.32E-02,2.56E-02,5.49E-02,2.93E-02
315,-5.35E-02,2.60E-02,5.48E-02,2.88E-02
320,-5.39E-02,2.63E-02,5.48E-02,2.85E-02
325,-5.42E-02,2.67E-02,5.47E-02,2.81E-02
330,-5.46E-02,2.68E-02,5.47E-02,2.79E-02
335,-5.49E-02,2.72E-02,5.46E-02,2.75E-02
340,-5.53E-02,2.76E-02,5.45E-02,2.69E-02
345,-5.56E-02,2.79E-02,5.44E-02,2.65E-02
350,-5.60E-02,2.81E-02,5.44E-02,2.63E-02
355,-5.63E-02,2.84E-02,5.43E-02,2.59E-02
360,-5.67E-02,2.87E-02,5.42E-02,2.56E-02
365,-5.70E-02,2.89E-02,5.42E-02,2.53E-02
370,-5.74E-02,2.91E-02,5.41E-02,2.50E-02
375,-5.77E-02,2.95E-02,5.40E-02,2.45E-02
380,-5.81E-02,2.98E-02,5.39E-02,2.41E-02
385,-5.84E-02,3.01E-02,5.38E-02,2.37E-02
390,-5.88E-02,3.04E-02,5.38E-02,2.34E-02
395,-5.91E-02,3.06E-02,5.37E-02,2.30E-02
400,-5.95E-02,3.09E-02,5.36E-02,2.27E-02
405,-5.98E-02,3.10E-02,5.35E-02,2.25E-02
410,-6.02E-02,3.13E-02,5.34E-02,2.21E-02
415,-6.06E-02,3.15E-02,5.33E-02,2.18E-02
420,-6.09E-02,3.19E-02,5.33E-02,2.14E-02
425,-6.12E-02,3.19E-02,5.32E-02,2.12E-02
430,-6.16E-02,3.23E-02,5.31E-02,2.08E-02
435,-6.20E-02,3.24E-02,5.30E-02,2.06E-02
440,-6.23E-02,3.26E-02,5.29E-02,2.02E-02
445,-6.27E-02,3.27E-02,5.28E-02,2.01E-02
450,-6.30E-02,3.30E-02,5.27E-02,1.97E-02
