Count,Filename_0,Dev6/ai0,Dev6/ai1,,Load (N),displacement(mm)
0,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00007_0.tif,0.0046,0.0175,,1.38,0.175
1,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00007_0.tif,0.0046,0.0175,,1.38,0.175
2,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00007_0.tif,0.0046,0.0175,,1.38,0.175
3,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00007_0.tif,0.0046,0.0175,,1.38,0.175
4,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00007_0.tif,0.0046,0.0175,,1.38,0.175
5,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00007_0.tif,0.0046,0.0175,,1.38,0.175
6,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00007_0.tif,0.0046,0.0175,,1.38,0.175
7,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00007_0.tif,0.0046,0.0175,,1.38,0.175
8,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00008_0.tif,0.0046,0.0276,,1.38,0.276
9,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00009_0.tif,0.0046,0.0327,,1.38,0.327
10,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00010_0.tif,0.0046,0.0429,,1.38,0.429
11,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00011_0.tif,0.0046,0.048,,1.38,0.48
12,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00012_0.tif,0.0046,0.0531,,1.38,0.531
13,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00013_0.tif,0.0046,0.0633,,1.38,0.633
14,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00014_0.tif,0.0046,0.0684,,1.38,0.684
15,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00015_0.tif,0.0096,0.0734,,2.88,0.734
16,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00016_0.tif,0.0096,0.0785,,2.88,0.785
17,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00017_0.tif,0.03,0.0887,,9,0.887
18,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00018_0.tif,0.0707,0.0938,,21.21,0.938
19,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00019_0.tif,0.1266,0.0989,,37.98,0.989
20,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00020_0.tif,0.1826,0.1091,,54.78,1.091
21,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00021_0.tif,0.2284,0.1141,,68.52,1.141
22,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00022_0.tif,0.3046,0.1192,,91.38,1.192
23,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00023_0.tif,0.3911,0.1294,,117.33,1.294
24,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00024_0.tif,0.503,0.1345,,150.9,1.345
25,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00025_0.tif,0.6352,0.1396,,190.56,1.396
26,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00026_0.tif,0.7777,0.1447,,233.31,1.447
27,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00027_0.tif,0.9252,0.1548,,277.56,1.548
28,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00028_0.tif,1.0676,0.165,,320.28,1.65
29,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00029_0.tif,1.2049,0.1701,,361.47,1.701
30,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00030_0.tif,1.3473,0.1752,,404.19,1.752
31,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00031_0.tif,1.4846,0.1803,,445.38,1.803
32,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00032_0.tif,1.622,0.1854,,486.6,1.854
33,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00033_0.tif,1.7491,0.1905,,524.73,1.905
34,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00034_0.tif,1.8814,0.2006,,564.42,2.006
35,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00035_0.tif,2.0034,0.2057,,601.02,2.057
36,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00036_0.tif,2.1255,0.2159,,637.65,2.159
37,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00037_0.tif,2.2476,0.221,,674.28,2.21
38,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00038_0.tif,2.3646,0.2261,,709.38,2.261
39,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00039_0.tif,2.4714,0.2312,,741.42,2.312
40,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00040_0.tif,2.5782,0.2413,,773.46,2.413
41,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00041_0.tif,2.6748,0.2464,,802.44,2.464
42,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00042_0.tif,2.7613,0.2515,,828.39,2.515
43,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00043_0.tif,2.8528,0.2566,,855.84,2.566
44,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00044_0.tif,2.9393,0.2668,,881.79,2.668
45,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00045_0.tif,3.0207,0.2719,,906.21,2.719
46,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00046_0.tif,3.1071,0.2769,,932.13,2.769
