ImageNumber,y-Displacement[m],x-CrackTipLength[m],x-EdgeLength[m],x-CrackLength[m]
20,-0.03333,0.01309,0.06117,0.04808
25,-0.03365,0.01310,0.06120,0.04810
30,-0.03399,0.01306,0.06118,0.04812
35,-0.03432,0.01309,0.06120,0.04811
40,-0.03466,0.01304,0.06116,0.04812
45,-0.03499,0.01294,0.06115,0.04821
50,-0.03534,0.01289,0.06111,0.04822
55,-0.03567,0.01291,0.06112,0.04821
60,-0.03601,0.01290,0.06111,0.04821
65,-0.03635,0.01291,0.06108,0.04817
70,-0.03668,0.01295,0.06107,0.04812
75,-0.03702,0.01300,0.06105,0.04805
80,-0.03736,0.01314,0.06100,0.04786
85,-0.03769,0.01317,0.06099,0.04782
90,-0.03803,0.01328,0.06098,0.04770
95,-0.03837,0.01339,0.06098,0.04759
100,-0.03870,0.01349,0.06095,0.04746
105,-0.03904,0.01471,0.06093,0.04622
110,-0.03938,0.01510,0.06090,0.04580
115,-0.03971,0.01523,0.06090,0.04567
120,-0.04005,0.01572,0.06089,0.04517
125,-0.04039,0.01595,0.06086,0.04491
130,-0.04073,0.01636,0.06083,0.04447
135,-0.04106,0.01665,0.06083,0.04418
140,-0.04140,0.01701,0.06080,0.04379
145,-0.04173,0.01733,0.06079,0.04346
150,-0.04207,0.01763,0.06076,0.04313
155,-0.04241,0.01796,0.06071,0.04275
160,-0.04274,0.01812,0.06067,0.04255
165,-0.04308,0.01844,0.06063,0.04219
171,-0.04348,0.01889,0.06061,0.04172
176,-0.04382,0.01922,0.06058,0.04136
181,-0.04416,0.01950,0.06055,0.04105
186,-0.04449,0.01983,0.06053,0.04070
191,-0.04483,0.02007,0.06050,0.04043
196,-0.04517,0.02034,0.06047,0.04013
201,-0.04551,0.02073,0.06045,0.03972
206,-0.04584,0.02107,0.06042,0.03935
211,-0.04618,0.02141,0.06039,0.03898
216,-0.04652,0.02174,0.06034,0.03860
221,-0.04685,0.02180,0.06029,0.03849
226,-0.04719,0.02217,0.06024,0.03807
231,-0.04752,0.02259,0.06021,0.03762
236,-0.04785,0.02297,0.06021,0.03724
241,-0.04819,0.02316,0.06018,0.03702
246,-0.04853,0.02343,0.06013,0.03670
251,-0.04886,0.02375,0.06010,0.03635
256,-0.04920,0.02403,0.06004,0.03601
261,-0.04954,0.02441,0.05999,0.03558
266,-0.04987,0.02462,0.05996,0.03534
271,-0.05021,0.02495,0.05993,0.03498
276,-0.05055,0.02518,0.05988,0.03470
281,-0.05089,0.02548,0.05983,0.03435
286,-0.05122,0.02577,0.05979,0.03402
291,-0.05156,0.02608,0.05976,0.03368
296,-0.05189,0.02628,0.05970,0.03342
301,-0.05223,0.02654,0.05963,0.03309
306,-0.05257,0.02683,0.05958,0.03275
311,-0.05290,0.02705,0.05954,0.03249
316,-0.05324,0.02732,0.05949,0.03217
321,-0.05357,0.02746,0.05944,0.03198
326,-0.05391,0.02763,0.05937,0.03174
331,-0.05425,0.02787,0.05932,0.03145
336,-0.05458,0.02841,0.05925,0.03084
341,-0.05492,0.02876,0.05918,0.03042
346,-0.05526,0.02901,0.05913,0.03012
351,-0.05560,0.02932,0.05906,0.02974
356,-0.05593,0.02957,0.05901,0.02944
361,-0.05627,0.02979,0.05896,0.02917
366,-0.05660,0.03006,0.05888,0.02882
371,-0.05694,0.03034,0.05883,0.02849
376,-0.05727,0.03059,0.05877,0.02818
381,-0.05761,0.03083,0.05867,0.02784
386,-0.05794,0.03098,0.05859,0.02761
391,-0.05828,0.03127,0.05854,0.02727
396,-0.05862,0.03148,0.05847,0.02699
401,-0.05895,0.03170,0.05840,0.02670
406,-0.05929,0.03202,0.05832,0.02630
411,-0.05963,0.03223,0.05825,0.02602
416,-0.05996,0.03246,0.05817,0.02571
421,-0.06030,0.03270,0.05808,0.02538
426,-0.06064,0.03292,0.05799,0.02507
431,-0.06097,0.03308,0.05792,0.02484
436,-0.06131,0.03323,0.05784,0.02461
441,-0.06165,0.03354,0.05776,0.02422
446,-0.06198,0.03372,0.05767,0.02395
