Count,Filename_0,Dev6/ai0,Dev6/ai1,-,load,displacement
0,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00000_0.tif,0.0046,0.0022,0,1.38,0.022
1,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00001_0.tif,0.0046,0.0022,0,1.38,0.022
2,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00002_0.tif,0.0046,0.0022,0,1.38,0.022
3,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00003_0.tif,0.0046,0.0022,0,1.38,0.022
4,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00004_0.tif,0.0046,0.0022,0,1.38,0.022
5,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00005_0.tif,0.0046,0.0073,0,1.38,0.073
6,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00006_0.tif,0.0046,0.0124,0,1.38,0.124
7,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00007_0.tif,0.0046,0.0226,0,1.38,0.226
8,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00008_0.tif,0.0046,0.0276,0,1.38,0.276
9,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00009_0.tif,0.0046,0.0327,0,1.38,0.327
10,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00010_0.tif,0.0046,0.0429,0,1.38,0.429
11,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00011_0.tif,0.0046,0.048,0,1.38,0.48
12,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00012_0.tif,0.0046,0.0531,0,1.38,0.531
13,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00013_0.tif,0.0046,0.0582,0,1.38,0.582
14,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00014_0.tif,0.0046,0.0684,0,1.38,0.684
15,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00015_0.tif,0.0096,0.0734,0,2.88,0.734
16,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00016_0.tif,0.0096,0.0836,0,2.88,0.836
17,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00017_0.tif,0.0453,0.0887,0,13.59,0.887
18,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00018_0.tif,0.1368,0.0938,0,41.04,0.938
19,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00019_0.tif,0.2487,0.0989,0,74.61,0.989
